HepMC::Version 3.02.06
HepMC::Asciiv3-START_EVENT_LISTING
E 0 56 136
U GEV MM
A 0 cycles 1
A 2 flow1 0
A 3 flow1 0
A 4 flow1 101
A 5 flow1 107
A 7 flow1 101
A 8 flow1 0
A 9 flow1 102
A 10 flow1 0
A 11 flow1 0
A 12 flow1 101
A 13 flow1 107
A 14 flow1 101
A 15 flow1 0
A 16 flow1 102
A 17 flow1 0
A 18 flow1 103
A 42 flow1 0
A 43 flow1 0
A 44 flow1 0
A 45 flow1 105
A 46 flow1 105
A 47 flow1 105
A 48 flow1 105
A 49 flow1 103
A 50 flow1 106
A 51 flow1 103
A 52 flow1 103
A 53 flow1 103
A 54 flow1 106
A 55 flow1 106
A 2 flow2 101
A 3 flow2 107
A 4 flow2 0
A 5 flow2 0
A 7 flow2 102
A 8 flow2 101
A 9 flow2 0
A 10 flow2 101
A 11 flow2 107
A 12 flow2 0
A 13 flow2 0
A 14 flow2 102
A 15 flow2 101
A 16 flow2 0
A 17 flow2 103
A 18 flow2 102
A 42 flow2 105
A 43 flow2 105
A 44 flow2 105
A 45 flow2 103
A 46 flow2 103
A 47 flow2 103
A 48 flow2 103
A 49 flow2 102
A 50 flow2 102
A 51 flow2 106
A 52 flow2 106
A 53 flow2 106
A 54 flow2 102
A 55 flow2 102
P 1 0 2212 0.0000000000000000e+00 0.0000000000000000e+00 6.9999999371178146e+03 7.0000000000000000e+03 9.3827000000000005e-01 4
P 2 1 -3 -1.0484972458753268e+00 5.8779278860133699e-01 -3.4455251340430104e-01 1.2504252362428521e+00 0.0000000000000000e+00 61
P 3 1 2203 4.4410066913889024e-01 -1.7984455887053458e-01 6.6114410208376285e+03 6.6114410831931291e+03 7.7132999999999996e-01 63
P 4 1 1 -9.4159938985926450e-02 -1.3109323660797007e-01 2.6582182021363514e+02 2.6582207405183823e+02 3.3000000000000002e-01 63
P 5 1 3 6.9855651572288568e-01 -2.7685499312312500e-01 1.2228217306917695e+02 1.2228550396679493e+02 5.0000000000000000e-01 63
P 6 0 2212 0.0000000000000000e+00 0.0000000000000000e+00 -6.9999999371178146e+03 7.0000000000000000e+03 9.3827000000000005e-01 4
P 7 6 21 -2.9362521239454509e-01 5.4723044189199754e-01 -2.4303414181655944e+03 2.4303414975121086e+03 0.0000000000000000e+00 61
P 8 6 2101 -1.4204799993876066e-01 -1.9444023887356379e-01 -3.9123624222009330e+03 3.9123624725040290e+03 5.7933000000000001e-01 63
P 9 6 2 4.3567321233335110e-01 -3.5279020301821273e-01 -6.5649662124108499e+02 6.5649694353670520e+02 3.3000000000000002e-01 63
P 10 2 -3 0.0000000000000000e+00 0.0000000000000000e+00 4.5281715261161565e-01 4.5281715261161565e-01 0.0000000000000000e+00 21
P 11 3 2203 4.4410066913889024e-01 -1.7984455887053458e-01 6.6114410208376285e+03 6.6114410831931291e+03 7.7132999999999996e-01 71
P 12 4 1 -9.4159938985926450e-02 -1.3109323660797007e-01 2.6582182021363514e+02 2.6582207405183823e+02 3.3000000000000002e-01 71
P 13 5 3 6.9855651572288568e-01 -2.7685499312312500e-01 1.2228217306917695e+02 1.2228550396679493e+02 5.0000000000000000e-01 71
P 14 7 21 0.0000000000000000e+00 0.0000000000000000e+00 -2.4302862215902264e+03 2.4302862215902264e+03 0.0000000000000000e+00 21
P 15 8 2101 -1.4204799993876066e-01 -1.9444023887356379e-01 -3.9123624222009330e+03 3.9123624725040290e+03 5.7933000000000001e-01 71
P 16 9 2 4.3567321233335110e-01 -3.5279020301821273e-01 -6.5649662124108499e+02 6.5649694353670520e+02 3.3000000000000002e-01 71
V -10 0 [10,14]
P 17 -10 -3 6.1518339863713545e-01 -8.9446301601945244e-01 -3.3619725905362685e-01 1.2415890213675045e+00 5.0000000000000000e-01 23
P 18 -10 21 -6.1518339863713545e-01 8.9446301601945244e-01 -2.4294972071781690e+03 2.4294974497210774e+03 0.0000000000000000e+00 23
V -11 0 [11,13]
P 19 -11 -311 4.0493987805582471e-01 -2.3036997894867894e-01 9.3721647428665904e+01 9.3724126344753429e+01 4.9761000000000000e-01 2
P 20 -11 111 2.7161976105529562e-01 1.1707996440145400e-01 3.2253232803349010e+02 3.2253249190014316e+02 1.3497999999999999e-01 2
P 21 -11 -211 -3.9247027186540595e-01 3.4777064585478945e-01 1.1732657207737848e+03 1.1732658462598961e+03 1.3957000000000000e-01 1
P 22 -11 111 4.4264082007673222e-01 -4.2019411711656729e-01 1.7416301317421451e+03 1.7416302439110757e+03 1.3497999999999999e-01 2
P 23 -11 2212 -3.5625351909248082e-01 5.8283174938663057e-02 1.6506765968368873e+03 1.6506769029731711e+03 9.3827000000000005e-01 1
